CodUf;TpoCrime;Qtd
Roraima;Homicídio doloso;1389
Amapá;Homicídio doloso;1948
Acre;Homicídio doloso;2007
Tocantins;Homicídio doloso;2787
Rondônia;Homicídio doloso;3482
Distrito Federal;Homicídio doloso;3518
Mato Grosso do Sul;Homicídio doloso;3905
Piauí;Homicídio doloso;4714
Santa Catarina;Homicídio doloso;5832
Mato Grosso;Homicídio doloso;6920
Sergipe;Homicídio doloso;6970
Amazonas;Homicídio doloso;8590
Espírito Santo;Homicídio doloso;8695
Paraíba;Homicídio doloso;8902
Rio Grande do Norte;Homicídio doloso;10242
Alagoas;Homicídio doloso;10267
Maranhão;Homicídio doloso;13412
Goiás;Homicídio doloso;14512
Paraná;Homicídio doloso;15708
Rio Grande do Sul;Homicídio doloso;16995
São Paulo;Homicídio doloso;17211
Pará;Homicídio doloso;22822
Minas Gerais;Homicídio doloso;24207
Ceará;Homicídio doloso;27435
Pernambuco;Homicídio doloso;28965
Rio de Janeiro;Homicídio doloso;31763
Bahia;Homicídio doloso;42418
